APN,RSO Year,Address,City,Zip,RSO Units,Prior Council District,Council District,Land Use Code,Unit Range
6041012018,2019,216 E 88TH PL,LOS ANGELES,90003,4,9,9,400,3-4 units
6041012019,2019,214 E 88TH PL,LOS ANGELES,90003,4,9,9,400,3-4 units
6041012020,2019,208 E 88TH PL,LOS ANGELES,90003,2,9,9,200,2 units
6041012023,2019,8862 WALL ST,LOS ANGELES,90003,3,9,9,300,3-4 units
6041012024,2019,205 W 89TH ST,LOS ANGELES,90003,3,9,9,300,3-4 units
6041012026,2019,215 E 89TH ST NO 1 2 3,LOS ANGELES,90003,3,9,9,300,3-4 units
6041012030,2019,231 E 89TH ST,LOS ANGELES,90003,3,9,9,300,3-4 units
6041012031,2019,233 E 89TH ST,LOS ANGELES,90003,2,9,9,200,2 units
6041012033,2019,243 E 89TH ST,LOS ANGELES,90003,2,9,9,200,2 units
6041012035,2019,8854 WALL ST,LOS ANGELES,90003,4,9,9,300,3-4 units
6041013001,2019,250 E 88TH ST,LOS ANGELES,90003,3,9,9,300,3-4 units
6041013008,2019,251 E 88TH PL,LOS ANGELES,90003,2,9,9,200,2 units
6041013010,2019,242 E 88TH ST,LOS ANGELES,90003,2,9,9,200,2 units
6041013018,2019,210 E 88TH ST,LOS ANGELES,90003,2,9,9,200,2 units
6041013019,2019,204 E 88TH ST,LOS ANGELES,90003,2,9,9,200,2 units
6041013020,2019,8802 WALL ST,LOS ANGELES,90003,3,9,9,300,3-4 units
6041013021,2019,247 E 88TH PL,LOS ANGELES,90003,2,9,9,200,2 units
6041013023,2021,239 E 88TH PL,LOS ANGELES,90003,2,9,9,200,2 units
6041013024,2019,235 E 88TH PL,LOS ANGELES,90003,2,9,9,200,2 units
6041013025,2019,231 E 88TH PL,LOS ANGELES,90003,2,9,9,200,2 units
6041013029,2021,215 E 88TH PL,LOS ANGELES,90003,1,9,9,200,1 unit
6041013030,2019,209 E 88TH PL,LOS ANGELES,90003,2,9,9,200,2 units
6041014006,2019,8763 S SAN PEDRO ST,LOS ANGELES,90003,1,9,9,1210,1 unit
6041014007,2019,8765 S SAN PEDRO ST,LOS ANGELES,90003,4,9,9,400,3-4 units
6041014009,2019,251 E 88TH ST,LOS ANGELES,90003,2,9,9,200,2 units
6041014010,2019,246 E 87TH PL,LOS ANGELES,90003,2,9,9,200,2 units
6041014016,2019,222 E 87TH PL,LOS ANGELES,90003,2,9,9,200,2 units
6041014019,2019,210 E 87TH PL,LOS ANGELES,90003,4,9,9,400,3-4 units
6041014021,2019,200 E 87TH PL,LOS ANGELES,90003,2,9,9,200,2 units
6041014022,2019,245 E 88TH ST,LOS ANGELES,90003,3,9,9,300,3-4 units
6041014025,2019,235 E 88TH ST,LOS ANGELES,90003,3,9,9,300,3-4 units
6041014033,2019,8764 WALL ST,LOS ANGELES,90003,2,9,9,200,2 units
6041014034,2019,241 E 88TH ST,LOS ANGELES,90003,6,9,9,500,5-10 units
6041015015,2019,242 E 87TH ST,LOS ANGELES,90003,2,9,9,200,2 units
6041015022,2019,214 E 87TH ST,LOS ANGELES,90003,3,9,9,300,3-4 units
6041015024,2023,206 E 87TH ST,LOS ANGELES,90003,4,9,9,400,3-4 units
6041015025,2019,8700 WALL ST,LOS ANGELES,90003,5,9,9,500,5-10 units
6041015028,2019,239 E 87TH PL,LOS ANGELES,90003,3,9,9,200,3-4 units
6041015029,2019,233 E 87TH PL,LOS ANGELES,90003,2,9,9,200,2 units
6041015030,2019,231 E 87TH PL,LOS ANGELES,90003,2,9,9,200,2 units
6041015031,2022,227 E 87TH PL,LOS ANGELES,90003,2,9,9,200,2 units
6041015034,2019,213 E 87TH PL,LOS ANGELES,90003,3,9,9,300,3-4 units
6041015035,2019,209 E 87TH PL,LOS ANGELES,90003,4,9,9,400,3-4 units
6041015037,2019,201 E 87TH PL,LOS ANGELES,90003,4,9,9,400,3-4 units
6041015038,2019,253 E 87TH PL,LOS ANGELES,90003,6,9,9,500,5-10 units
6041016006,2019,222 E MANCHESTER AVE,LOS ANGELES,90003,1,9,9,1210,1 unit
6041016012,2019,235 E 87TH ST,LOS ANGELES,90003,6,9,9,500,5-10 units
6041016016,2019,219 E 87TH ST,LOS ANGELES,90003,2,9,9,200,2 units
6041016017,2019,215 E 87TH ST,LOS ANGELES,90003,4,9,9,400,3-4 units
6041019022,2019,8711 AVALON BLVD,LOS ANGELES,90003,10,9,9,500,5-10 units
6041019023,2019,8717 AVALON BLVD,LOS ANGELES,90003,10,8,8,500,5-10 units
6041024003,2019,8908 S SAN PEDRO ST,LOS ANGELES,90003,1,9,9,1210,1 unit
6041024006,2019,8920 S SAN PEDRO ST,LOS ANGELES,90003,1,9,9,1210,1 unit
6041024007,2019,309 E 90TH ST,LOS ANGELES,90003,2,9,9,200,2 units
6041024018,2022,8921 CROCKER ST,LOS ANGELES,90003,1,9,9,200,1 unit
6041024021,2019,8918 CROCKER ST,LOS ANGELES,90003,2,9,9,200,2 units
6041024028,2021,8905 TOWNE AVE,LOS ANGELES,90003,1,9,9,200,1 unit
6041025015,2019,431 E 90TH ST,LOS ANGELES,90003,2,9,9,200,2 units
6041025016,2019,8918 METTLER AVE,LOS ANGELES,90003,2,9,9,200,2 units
6041025020,2021,8904 METTLER AVE,LOS ANGELES,90003,1,9,9,200,1 unit
6041025025,2019,514 E 89TH ST,LOS ANGELES,90003,2,9,9,200,2 units
6041025031,2019,8915 AVALON BLVD,LOS ANGELES,90003,2,9,9,200,2 units
6041025032,2019,8911 AVALON BLVD,LOS ANGELES,90003,2,9,9,400,2 units
6041025033,2019,522 E 89TH ST,LOS ANGELES,90003,3,9,9,1210,3-4 units
6041026022,2020,434 E 90TH ST,LOS ANGELES,90003,2,9,9,200,2 units
6041026023,2023,438 E 90TH ST,LOS ANGELES,90003,1,9,9,200,1 unit
6041026024,2021,442 E 90TH ST,LOS ANGELES,90003,1,9,9,200,1 unit
6041027017,2019,341 E 91ST ST,LOS ANGELES,90003,2,9,9,200,2 units
6041027020,2019,355 E 91ST ST,LOS ANGELES,90003,2,9,9,200,2 units
6041027021,2024,357 E 91ST ST,LOS ANGELES,90003,1,9,9,200,1 unit
6041027025,2019,342 E 90TH ST,LOS ANGELES,90003,2,9,9,200,2 units
6041028018,2019,355 E 92ND ST,LOS ANGELES,90003,3,9,9,300,3-4 units
6041029001,2019,9103 AVALON BLVD,LOS ANGELES,90003,3,9,9,300,3-4 units
6041029004,2019,9111 AVALON BLVD,LOS ANGELES,90003,2,9,9,200,2 units
6041029015,2024,409 E 92ND ST,LOS ANGELES,90003,1,9,9,200,1 unit
6041029016,2019,407 E 92ND ST,LOS ANGELES,90003,3,9,9,300,3-4 units
6041029023,2021,420 E 91ST ST,LOS ANGELES,90003,2,9,9,200,2 units
6041029029,2019,444 E 91ST ST,LOS ANGELES,90003,3,9,9,300,3-4 units
6042001002,2019,654 E MANCHESTER AVE,LOS ANGELES,90001,2,9,9,200,2 units
6042001017,2019,613 E 87TH ST,LOS ANGELES,90002,2,9,9,200,2 units
6042001019,2019,619 E 87TH ST,LOS ANGELES,90002,3,9,9,300,3-4 units
6042001020,2019,623 E 87TH ST,LOS ANGELES,90002,4,9,9,400,3-4 units
6042001021,2019,629 E 87TH ST,LOS ANGELES,90002,2,9,9,200,2 units
6042001022,2019,633 E 87TH ST,LOS ANGELES,90002,2,9,9,200,2 units
6042001023,2019,637 E 87TH ST,LOS ANGELES,90002,4,9,9,400,3-4 units
6042001026,2019,649 E 87TH ST,LOS ANGELES,90002,3,9,9,300,3-4 units
6042001029,2019,661 E 87TH ST,LOS ANGELES,90002,4,9,9,400,3-4 units
6042001033,2019,641 E 87TH ST,LOS ANGELES,90002,2,9,9,200,2 units
6042002016,2019,703 E 87TH ST,LOS ANGELES,90002,2,9,9,200,2 units
6042002017,2019,707 E 87TH ST #1,LOS ANGELES,90002,4,9,9,400,3-4 units
