APN,Application Received,Application Year,Council District,Address,City,Zip,Units Withdrawn,Replacement Unit,Latitude,Longitude
2338014025,6/8/2021,2021,2,11441  HATTERAS ST,LOS ANGELES ,91601.0,2.0,,34.1759653,-118.3805057
2338023005,11/17/2015,2015,2,11482 W HATTERAS ST,LOS ANGELES ,91601.0,6.0,,34.1763533,-118.6233524
2338024019,8/3/2018,2018,2,5749 N TUJUNGA AVE,LOS ANGELES ,91601.0,1.0,,34.2334089,-118.3818787
2338027016,12/27/2021,2021,2,5650 N FARMDALE AVE,LOS ANGELES ,91601.0,2.0,,34.173614,-118.3806708
2338028003,5/14/2021,2021,2,5633 N FARMDALE AVE,NORTH HOLLYWOOD ,91601.0,6.0,,34.1731651,-118.3813765
2338028004,5/5/2015,2015,2,5643 N FARMDALE AVE,NORTH HOLLYWOOD ,91601.0,10.0,44.0,34.1733604,-118.3813032
2338028005,5/5/2015,2015,2,5649 N FARMDALE AVE,NORTH HOLLYWOOD ,91601.0,4.0,,34.1735359,-118.3813703
2338028007,3/12/2019,2019,2,11470 W COLLINS ST,LOS ANGELES ,91601.0,3.0,,34.1737456,-118.3814967
2338031012,10/20/2023,2023,2,11611 W BURBANK BLVD,LOS ANGELES ,91601.0,3.0,,34.1723993,-118.6449145
2340006015,10/17/2018,2018,2,5925 N LAUREL CANYON BLVD,LOS ANGELES ,91607.0,3.0,11.0,34.2259821,-118.3978434
